user_id,Phones,Fashion,Home Decor,Consumer Durables,Back to School,Toys,Books,Groceries,Fitness,Board Games,Painiting Supplies,Gaming,TVs,Laptops,Beauty Products,Pet Supplies,Ereaders,Kitchen cleaning Supplies,target_cat
1,0.624080612,2.023220115,0,0,0,0.583587479,0,0.289618854,2.269517092,0,0,0,0,0,0,0,0,0,Fashion
6,4.478768026,4.572248848,0,0,0,1.64753352,1.325135448,0.94855034,0.108054314,0,0,0.813077139,0,0,0,0,0,0,Phones
14,0.634160223,5.869624458,0,0.35977644,0,0.806561941,0,0,0,0,0.923734966,0,0,0,0,0,0,0,Phones
16,3.544846296,3.256298476,2.407612258,0,0,0.985492064,1.980695992,0,0,0,0,0,0,0,0,0,0,0,Phones
19,4.648716368,2.890518568,5.748288988,0.497547118,1.666200516,0.97448098,0,0.644677315,0,0,0,0,0,0,0,0,0,0,Phones
26,3.873258333,2.024648943,2.92768098,0.728170279,0.565009172,0.417044826,0,0,0,0,0,0.980191808,0,0,0,0,0,0,Phones
27,6.353881024,3.930705181,0,0.945256941,0,3.922698858,0,0,1.435014001,0,0,0.881369192,0,0,0,0,0,0,Fitness
28,1.500518018,4.267908534,0,0,0,0,0,1.171433754,0,0,0,0,0,0,0,0,0,0,Phones
30,0.923047969,1.088766757,0,0,0.707222364,0.646901215,0.703832224,0,0,0,0,1.01714986,0,0,0,0,0,0,Phones
33,1.415116227,3.819256615,0,0,0,1.230488694,0,0,0,0,0,0,0,0,0,0.998602153,0,0,Pet Supplies
35,1.68604394,0.494374407,3.294788313,0,0,2.582099319,0,2.406363363,0,0,0,2.164456337,0,0,0,0,0,0,Phones
39,2.72100613,0,0.92082756,0,0,0,0,0,0,0,0,0.792991242,0,0,0,0,0.564918219,0,Ereaders
42,0.42468759,0,2.291361603,0,0,1.759020751,0,0,0,0,0,0,0,0,0,0,0,0.905090578,Phones
51,2.455270944,4.03358078,0.773984627,0,0.622663169,0,0,0,0,0,0,0,0,0,0,0,0,0,Phones
53,0,1.013038885,0,0,0,0,0,0,0,0,0,1.128827451,0,0,0,0,0,0,Phones
56,0.876987203,3.714952189,0,0,0.80331236,0,0,0,0,0,0,1.929853052,0,0,0,0,0,0,Phones
62,0.996293138,0.911592114,0,0,0,0,0.621303224,0,0,0,0,0,0,0,0,0,0,0,Phones
72,2.033393427,0.995892952,0,0,0,0,0,0,0,0,0,0.733536984,0,0,0,0,0.796643355,0,Phones
82,1.260806554,2.276122629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phones
86,0.927446344,1.850331955,1.202276515,0,0,0.434937838,0,0,0,0,0,0,0,0,0,0,0,0,Phones
88,4.102890187,4.499378632,0,1.332896307,2.678989065,0,0,0,1.325830199,1.423719637,0,0.776119088,0,0,0,0,0,0,Fashion
89,0.551812859,0.993035297,2.126163303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phones
91,1.508703884,2.114665092,0.663852427,0,0,0,0,0,0,0,0,1.240505043,0,0,0,0,0,0,Phones
94,3.062979825,4.08501858,1.792707476,1.110531488,0,1.80581786,0,0,0.579050645,0,1.099532278,1.517690431,0,1.243022102,0,0,0,0,Laptops
95,0,1.034471302,0,0,0,0,0,0.480106422,0,1.455357852,0,0,0,0,0,0,0,0,Phones
99,1.256102736,1.05447489,2.441263764,1.042489935,1.331807333,0,0,0,0,0,0,0,1.343731204,0,0,0,0,0,TVs
107,4.871078685,4.920882822,5.115028839,0,0,3.95022657,0,1.115064983,0,0,0,0,0,0,0,0.628656925,0.679228426,0,Pet Supplies
115,2.91966609,0,0.682207794,0,1.078129746,0,0.82996145,0,1.55718691,0,0,0,0,0,0,0,0,0,Fitness
126,1.95080171,0,0.611845555,0,0.751423762,0,0,0.906435742,0,0,0,1.721763152,0,0,0,0,1.286836569,0,Ereaders
130,1.305462283,1.88605265,0.930005243,0,0,0,0,0,0,0,0,0,0,0,0,0.876120287,0,0,Fashion
